term,count
game,94
ad,21
vl,19
guny,19
ae,16
zing,15
mobile,12
list,10
bangbang,10
ac,9
bos,8
recap,8
cover,7
net,7
pokiwar,7
fre,7
tank,7
you,6
ful,6
zingme,6
online,6
map,6
are,6
bro,6
anime,6
of,6
nin,6
ah,5
balad,5
thank,5
quảng,5
9x,5
mik,5
goat,5
world,5
cafe,5
gundam,5
rambo,5
sv,5
overwatch,5
thanks,4
view,4
qc,4
this,4
cx,4
iu,4
nhiên,4
ani,4
moly,4
my,4
fish,4
ngoạ,4
server,4
pegasus,4
panda,4
skil,4
moba,4
set,4
bug,4
city,4
pc,4
dragon,4
cheat,4
new,4
york,4
series,4
frieren,4
up,3
lun,3
nhàng,3
playlist,3
team,3
f47,3
sốp,3
hi,3
hc,3
10đ,3
trc,3
hapy,3
khủng,3
nice,3
zingsped,3
tv,3
pet,3
op,3
ironman,3
pick,3
pvp,3
vng,3
mọe,3
tk,3
chat,3
engine,3
hải,3
one,3
piece,3
lol,3
var,3
train,3
pokemon,3
ea,3
valve,3
skip,3
review,3
spotify,2
nhac,2
gi,2
coment,2
vẫn,2
tò,2
very,2
ui,2
huhu,2
cũm,2
diem,2
tren,2
lot,2
xóa,2
vaiz,2
ngol,2
cmt,2
th,2
vid,2
like,2
luon,2
hm,2
fact,2
remake,2
why,2
sped,2
web,2
ng,2
clip,2
2k,2
mịa,2
lv,2
p2w,2
nph,2
c2,2
buf,2
coc,2
chinh,2
3q,2
sever,2
choper,2
vip,2
p2,2
p1,2
naruto,2
solo,2
play,2
chap,2
gacha,2
rank,2
hack,2
tặc,2
lufy,2
aura,2
dead,2
dark,2
knight,2
batman,2
nokia,2
kakashi,2
value,2
fps,2
rush,2
thumbnail,2
có,2
lotbox,2
grok,2
musk,2
choso,2
atack,2
on,2
fieren,2
nv,2
reviewer,2
himel,2
cok,2
cb,2
drop,2
john,2
wick,2
kì,2
lèm,2
thong,1
1lis,1
nhanghe,1
mưacảm,1
tuyet,1
db,1
nhieu,1
àh,1
ngheđi,1
yes,1
tành,1
section,1
wild,1
quám,1
lại,1
này,1
rất,1
nhiều,1
lần,1
chán,1
dm,1
ytb,1
hóa,1
giêt,1
nguòi,1
ỏ,1
oline,1
nhir,1
cf,1
phiêu,1
chât,1
music,1
duoc,1
dkm,1
bit,1
tâc,1
repeat,1
hihi,1
pro,1
fan,1
vk,1
quácảm,1
bg,1
12h,1
quáa,1
hat,1
nua,1
tiktok,1
mp3,1
wel,1
done,1
apreciate,1
qw,1
nv1,1
dep,1
house,1
crush,1
qá,1
more,1
double,1
prerol,1
ads,1
blockify,1
ω,1
bl,1
phúccảm,1
ôs,1
haiz,1
tâph,1
ắ,1
xò,1
covid,1
ơinó,1
hayhọc,1
baogio,1
ksat,1
toananh,1
love,1
saoi,1
oki,1
make,1
remember,1
it,1
for,1
chanel,1
dth,1
tik,1
10fl,1
lm,1
ln,1
ioe,1
vaix,1
thìgcmchfnxsj,1
jhshdh,1
sub,1
ms,1
eh,1
thiệc,1
bzh,1
qa,1
nàychắc,1
rùi,1
2k1,1
justate,1
nhg,1
masonb,1
mih,1
hoan,1
đieng,1
điêng,1
layer,1
blox,1
fruit,1
họa,1
2d,1
background,1
animation,1
shake,1
sủng,1
peak,1
roblox,1
myfish,1
hugo,1
tể,1
htv7,1
somo,1
wed,1
y8,1
mốtmy,1
famecuộc,1
xenông,1
ngư,1
3v3,1
jav,1
avatar,1
star,1
themem,1
army,1
apache,1
vlcm,1
moẹ,1
share,1
kh,1
dislike,1
tedy,1
lv4,1
ò,1
kyle,1
vest,1
gunbao,1
gunbound,1
đcm,1
please,1
chip,1
240k,1
7h,1
6r,1
gòi,1
2u,1
audition,1
post,1
link,1
yt,1
rep,1
đcme,1
heal,1
vile,1
zynga,1
fake,1
mythic,1
nhần,1
chs,1
50tr1,1
red,1
alert,1
idmolyt,1
tôit,1
sậptrẻ,1
biếttên,1
name,1
tanvipro098ác,1
juipocó,1
fix,1
buble,1
fighter,1
nexon,1
vler,1
peashoter,1
hỗ,1
kha,1
rest,1
peace,1
57tr,1
4tr,1
facebok,1
8h,1
