video_id,comment
apqe_u3VJQ4,Bài nhạc mới trong Ep: Circle of Love của Tia nè cả nhà https://youtu.be/RgY01OtPQko ✨✨✨🥰
apqe_u3VJQ4,Ternyata udah 6 tahun yg lalu baru viral 2026 XD
apqe_u3VJQ4,T nghe nhạc này lúc đầu còn tửng là …. Tình bạn vĩnh cữu từ bên pokemon 💔🥀
apqe_u3VJQ4,Low cortisol?
apqe_u3VJQ4,tôi tới đây từ ông da đen tập gym LOL
apqe_u3VJQ4,Spongebob floating while listening to music type shi
apqe_u3VJQ4,"Take me back, back home đường cũng chẳng có xa"
apqe_u3VJQ4,This was famous in 6 years and 2026?
apqe_u3VJQ4,Cortisol:Low
apqe_u3VJQ4,6 years ago!!!!!!
apqe_u3VJQ4,1:08
apqe_u3VJQ4,ủa thế ai đưa chế về zợ
apqe_u3VJQ4,"Bruh now I know the health issue of Gym Bros if Use all body no Brain 

Straight up Coma or Cardiac Arrest not Maxed out all body parts"
apqe_u3VJQ4,52 Million views in the span of 6 years. 🙂‍↕️📜🔥
apqe_u3VJQ4,Yall ruined a perfectly good song with your “trend”
apqe_u3VJQ4,1.25× speed😊
apqe_u3VJQ4,SONA KIMI NI 🔊 !!!
apqe_u3VJQ4,Son😭
apqe_u3VJQ4,Low console be like
apqe_u3VJQ4,I finaly find official low cortisol song 😂
apqe_u3VJQ4,this song now is trending in tiktok now here in philippines 2026
apqe_u3VJQ4,Uma Musume by like: (low cortisol)
apqe_u3VJQ4,my cortisol is low now
apqe_u3VJQ4,2:23 ngl is this where she used to live?
apqe_u3VJQ4,"troi oi, co ay buoc phai lam the ma LOL"
apqe_u3VJQ4,"High cortisol ❌
Low cortisol ❌
No cortisol ✅"
apqe_u3VJQ4,"Не знал, что вьетнамский звучит так красиво 🥹"
apqe_u3VJQ4,😔
apqe_u3VJQ4,Hi nakita din kita ❤❤❤ TikTok brought me here ❤❤❤
apqe_u3VJQ4,The crazy thing is this was 6 years ago...
apqe_u3VJQ4,"here 2026

but who call this a low cortisol song?"
apqe_u3VJQ4,õmg #28 top music video=)))
apqe_u3VJQ4,คนไทยคนเเรก
apqe_u3VJQ4,feels like my bunny
apqe_u3VJQ4,0:57
apqe_u3VJQ4,I’m here because of TikTok 😂
apqe_u3VJQ4,Có anh quyên nam kìa 😮
apqe_u3VJQ4,those guilt trip 'don't skip this' ads haven't shown up once since i got blockify
apqe_u3VJQ4,"bài hát ra cả nước ngoài và tôi tự hào về bài hát này 
nó còn đc vào những trò chơi nổi tiếng ❤❤"
apqe_u3VJQ4,Guys I found it! It’s 1.2 speed
apqe_u3VJQ4,chúng ta có nhạc từ 6 năm trước h lại nổi lại
apqe_u3VJQ4,chỉ thực sự quay lại để đổi tiêu đề và tên bài hát thành Low Cortisol Song T_T
apqe_u3VJQ4,"please, guys, write comms under my comm. I want low cortisol all the time - always (="
apqe_u3VJQ4,Low Cortisol ahh song
apqe_u3VJQ4,I can feel taking her back home
apqe_u3VJQ4,The song was released in the best era.😢
apqe_u3VJQ4,Agnes tachyon music meme
apqe_u3VJQ4,When my team locks in in G&B and my honest reaction is:
apqe_u3VJQ4,"OMG she added the ""low cortisol"" to the title"
apqe_u3VJQ4,in the dark cũng rất hay
apqe_u3VJQ4,Im going to use this song on my horror game
apqe_u3VJQ4,Take me baco bsck home😭✌
apqe_u3VJQ4,is good
apqe_u3VJQ4,Great🥰
apqe_u3VJQ4,Omg this song from 2019?greeting from indonesia🇮🇩
apqe_u3VJQ4,lah nongol sendiri
apqe_u3VJQ4,THE ORIGINAL
apqe_u3VJQ4,Ai đang ở đây nghe thì cmt nha (23/3/26) còn t đang ngồi nhún nhún khi nghe bài nhạc này
apqe_u3VJQ4,"Fall in love instantly with your song your voice
Even set my ringtone to this song
Everytime my phone ring my body start dancing with the melody
Remind me to take my bag home"
apqe_u3VJQ4,nhac hai qua
apqe_u3VJQ4,tôi nhớ nghe bài này vào năm lớp 8 và giờ đã gần ra trường
apqe_u3VJQ4,"52.490M
+132k"
apqe_u3VJQ4,1:04 is beautiful background
apqe_u3VJQ4,My cortisol going down now
